hdbscan_cluster,crime_count,mean_latitude,mean_longitude
83,2868,52.50673884693166,-1.9483544870990237
96,879,53.4169046734926,-2.9539034072810013
121,862,53.80116867169374,-1.5511244733178653
48,806,51.46459390818858,-2.5747134913151366
139,739,51.515591507442494,-0.13914996211096076
0,727,54.60217636863824,-6.078718569463549
100,618,52.96142949029126,-1.1771241585760517
120,574,53.79493440243902,-1.7608533832752613
90,571,52.630679880910684,-1.1365795621716288
13,505,54.5616978019802,-1.255190497029703
16,504,54.9672147281746,-1.6076170634920635
86,488,52.45007613114754,-1.4859785983606557
117,462,53.381128023809524,-1.4510142705627707
23,439,51.78706968792711,-1.2735812665148063
64,436,53.028010582568804,-2.180411504587156
28,436,51.48582924311927,-3.192921880733945
63,413,50.921148576271186,-1.400960196125908
32,411,53.76345066180049,-0.353800498783455
24,372,51.625569258064516,-3.8929462338709677
57,369,50.741046563685636,-1.8802187750677508
94,333,52.91196352552552,-1.4700322642642643
71,326,53.829078638036805,-3.0292832791411044
77,309,50.83163548543689,-0.1492571585760518
72,299,50.80946220735785,-1.0943824180602006
60,291,52.02820915463918,-0.7465402439862543
6,290,50.26625705862069,-5.111202689655172
33,279,53.14235334767025,-0.6165154265232975
105,278,51.37995320503597,0.5334744460431654
8,269,50.39034810780669,-4.140427828996283
92,268,51.889141059701494,-0.4503764291044776
40,265,52.575936388679246,-0.2532450037735849
20,264,54.99188656439394,-1.458726734848485
58,259,51.8600887953668,0.9766754092664093
10,256,52.6287761640625,1.25726858203125
55,250,52.24484912,-0.889793404
26,248,51.61747474596774,-3.0074394717741937
65,245,53.74424266938776,-2.6930953673469387
126,239,51.501109430962345,-0.3815531506276151
69,232,53.743194288793106,-2.4398016379310348
103,230,51.54896159130435,0.7018667565217391
88,222,51.32010154504505,-0.7597117657657658
110,218,51.150308082568806,-0.182300247706422
41,212,52.24417608962264,0.04752996698113207
30,212,53.56087578301887,-0.0861388254716981
56,211,52.3724441943128,-0.6906524075829383
87,208,51.44913244230769,-0.9701768557692307
18,198,50.47633643434344,-3.5582299444444447
22,197,51.57199441116751,-1.7808803908629443
112,190,53.52394757368421,-1.1335529210526316
102,189,51.571808740740735,0.4872233068783069
79,186,53.22683512365592,-2.8998971935483873
129,178,51.38385224157304,-0.09989779775280899
70,177,53.81018689830508,-2.2321471694915256
135,173,51.53962704046243,0.008574583815028902
9,170,52.54910373529412,1.718988617647059
97,170,53.134843847058825,-1.2194879352941177
17,170,50.72158418235294,-3.5123586352941176
115,169,53.64609206508876,-1.7877154792899408
111,166,53.55243078313253,-1.4564824397590361
52,162,52.054669259259256,1.16522287654321
124,162,51.45978758024691,0.33340698148148146
19,162,54.90506277160494,-1.4045737530864197
36,160,53.959643074999995,-1.0927122375
12,160,54.660313175,-1.60848495
45,159,53.5317504591195,-0.6831701446540881
61,159,52.12836078616352,-0.46986440251572326
31,156,53.30790434615385,-3.6021138012820515
37,155,52.684111787096775,-2.460187870967742
39,153,51.8559125751634,-2.233665183006536
122,152,51.51026981578948,-0.5988047434210526
59,151,51.30954129139073,1.0808617218543046
54,147,50.86100970748299,0.538890925170068
138,147,51.521153428571424,-0.07849114285714286
106,144,51.790347555555556,0.12123952777777777
78,141,50.82131118439717,-0.4297386170212766
118,141,53.68099328368795,-1.5066857163120568
113,138,51.76628484782609,-0.25705874637681164
53,137,50.79914735766423,0.2769751897810219
74,136,52.195731095588236,-2.214906507352941
132,135,51.60111268888889,-0.06775314074074074
114,134,53.72636693283582,-1.8783557985074628
50,134,51.36602276865671,1.3945081641791044
14,133,54.686304203007516,-1.2225322932330827
134,131,51.54566419847328,0.07099407633587786
108,128,53.7071109453125,-1.3293044140625
119,128,53.7028005,-1.64040290625
104,126,51.272266904761906,0.5138296587301587
11,124,54.52959389516129,-1.5452676370967742
51,123,51.10896304065041,1.223496024390244
101,123,51.92341841463415,-0.19938604878048782
75,120,51.73760156666666,0.4734824916666666
44,120,51.344306350000004,-2.957828591666667
140,120,51.497659766666665,-0.09877843333333333
84,119,52.790932857142856,-1.5996894705882352
15,119,55.148013033613445,-1.5426451680672268
27,119,52.687092478991595,0.2553693361344538
49,116,54.05841313793103,-2.832129362068965
137,116,51.51267363793104,-0.21068726724137932
131,116,51.46090106896552,-0.01638612931034483
21,115,54.197969460869565,-0.3276444434782609
38,114,51.90230243859649,-2.088412105263158
66,112,51.26718116964286,-1.0977067142857142
35,109,52.89489198165138,-0.08190354128440366
91,109,53.39646851376146,-2.59068771559633
95,108,53.45310817592593,-2.730140037037037
3,107,54.890569158878506,-2.931941859813084
43,104,51.13000572115384,-2.9940757596153844
1,103,54.96896829126214,-7.3264202135922325
93,103,51.37846659223301,0.7494997184466019
136,102,51.46299711764706,-0.12010304901960783
81,100,53.34954409,-2.71644022
67,100,53.09673721,-2.4437540799999997
4,100,54.60020086,-3.5312428899999997
29,100,51.605524589999995,-3.3816684400000003
109,99,51.7548216969697,-0.4642648888888889
2,98,51.04788925510204,-4.091922591836735
116,98,53.43771887755102,-1.3443350510204082
98,96,51.62812947916667,-0.7453881875
128,96,51.489764479166666,0.08386658333333334
68,95,53.04721768421052,-2.9932725052631577
127,95,51.50794593684211,-0.30932332631578946
42,94,51.020948436170215,-3.0992978404255322
34,94,51.01198229787234,-2.652469659574468
85,91,52.28450754945055,-1.5500467032967034
46,91,51.14330479120879,0.8629745494505494
5,90,51.750536266666664,-4.9310545
73,89,50.869041820224716,-0.9976097303370787
125,89,51.40150562921348,-0.29350220224719104
89,88,52.77009888636364,-1.212545193181818
133,88,51.57740752272728,-0.012745943181818181
123,88,51.66351648863636,-0.3969998522727272
80,87,52.37540149425287,-2.259672183908046
107,86,53.238227848837205,-1.4263596744186047
47,85,51.3809664,-2.3681041294117646
7,84,54.138350249999995,-3.2016817619047617
99,84,52.99525273809524,-1.3234539285714286
82,84,52.30075302380953,-1.9267999285714286
130,84,51.54545592857143,-0.24225044047619046
76,82,50.81100641463415,-0.7172045
62,80,51.814249062500004,-0.8138618375
25,80,52.711889662500006,-2.7481701625
